,154445,,,,36.85,-120.46,-8,40,-8,c,w/m2,w/m2
2006,1,13,20,0,0,0,0,0.943969727,9.958093262,991,192,3
2006,1,13,21,0,0,0,0,0.469207764,9.475274658,991,184,3
2006,1,13,22,0,0,0,0,0.086975098,9.086450195,991,177,3
2006,1,13,23,0,0,0,0,-0.203643799,8.790917969,991,173,3
2006,1,14,0,0,0,0,0,-0.389251709,8.602044678,991,172,4
2006,1,14,1,0,0,0,0,-0.714874268,8.270715332,990,169,4
2006,1,14,2,0,0,0,0,-1.027435303,7.952600098,990,166,4
2006,1,14,3,0,0,0,0,-1.066925049,7.912408447,990,163,3
2006,1,14,4,0,0,0,0,-1.057525635,7.921960449,990,167,3
2006,1,14,5,0,0,0,0,-1.169494629,7.807977295,990,179,3
2006,1,14,6,0,0,0,0,-1.040771484,7.93883667,991,189,2
2006,1,14,7,0,0,0,0,-0.739196777,8.245721436,992,186,2
2006,1,14,8,0,46,62,54,0.530853271,9.537805176,992,182,2
2006,1,14,9,0,114,156,159,1.882995605,10.91237793,993,196,2
2006,1,14,10,0,176,190,254,2.850891113,11.89602051,993,209,3
2006,1,14,11,0,222,185,314,3.374938965,12.42846069,993,220,3
2006,1,14,12,0,106,814,536,3.276367188,12.32839355,993,228,3
2006,1,14,13,0,207,365,395,2.833953857,11.87890015,993,234,3
2006,1,14,14,0,191,243,300,2.483032227,11.52230225,993,242,3
2006,1,14,15,0,126,19,133,1.717834473,10.74450073,993,247,3
2006,1,14,16,0,59,467,146,0.344421387,9.34786377,994,250,3
2006,1,14,17,0,0,0,0,-0.874786377,8.107141113,994,253,3
2006,1,14,18,0,0,0,0,-1.486206055,7.484429932,995,259,3
2006,1,14,19,0,0,0,0,-1.925170898,7.037225342,996,266,3
2006,1,14,20,0,0,0,0,-2.195739746,6.761346436,997,272,3
2006,1,14,21,0,0,0,0,-2.320617676,6.633966064,997,276,3
2006,1,14,22,0,0,0,0,-2.348449707,6.605493164,998,280,3
2006,1,14,23,0,0,0,0,-2.38079834,6.572473145,998,283,3
2006,1,15,0,0,0,0,0,-2.457489014,6.494226074,998,287,3
2006,1,15,1,0,0,0,0,-2.492370605,6.458642578,999,289,3
2006,1,15,2,0,0,0,0,-2.624511719,6.323907471,999,292,3
2006,1,15,3,0,0,0,0,-2.979278564,5.9621521,999,297,3
2006,1,15,4,0,0,0,0,-3.653045654,5.274865723,1000,302,3
2006,1,15,5,0,0,0,0,-4.390167236,4.522363281,1000,307,3
2006,1,15,6,0,0,0,0,-5.005157471,3.8940979,1001,311,3
2006,1,15,7,0,0,0,0,-4.9921875,3.907098389,1002,313,3
2006,1,15,8,0,46,362,91,-3.263183594,5.671685791,1003,314,2
2006,1,15,9,0,78,637,260,-1.228271484,7.745263672,1004,317,2
2006,1,15,10,0,96,762,410,0.182159424,9.180749512,1004,318,3
2006,1,15,11,0,105,822,513,1.183227539,10.19902954,1004,320,3
2006,1,15,12,0,109,845,558,1.864074707,10.89135132,1004,324,3
2006,1,15,13,0,107,838,539,2.081848145,11.11275635,1003,325,4
2006,1,15,14,0,100,798,459,1.839752197,10.86663208,1004,326,4
2006,1,15,15,0,87,706,326,0.937408447,9.949121094,1004,324,4
2006,1,15,16,0,61,507,158,-1.073547363,7.902764893,1004,315,3
2006,1,15,17,0,0,0,0,-2.790557861,6.153283691,1004,310,4
2006,1,15,18,0,0,0,0,-3.641113281,5.28572998,1005,311,4
2006,1,15,19,0,0,0,0,-4.383911133,4.527459717,1005,315,4
2006,1,15,20,0,0,0,0,-5.07232666,3.824182129,1006,321,3
2006,1,15,21,0,0,0,0,-5.760101318,3.121026611,1006,327,3
2006,1,15,22,0,0,0,0,-6.441436768,2.423822021,1006,331,2
2006,1,15,23,0,0,0,0,-7.036499023,1.814416504,1007,336,2
2006,1,16,0,0,0,0,0,-7.370697021,1.472009277,1007,342,2
2006,1,16,1,0,0,0,0,-7.545806885,1.2925354,1006,347,1
2006,1,16,2,0,0,0,0,-7.686187744,1.14876709,1006,348,1
2006,1,16,3,0,0,0,0,-7.780487061,1.05223999,1006,339,1
2006,1,16,4,0,0,0,0,-7.777679443,1.055047607,1006,328,1
2006,1,16,5,0,0,0,0,-7.700531006,1.134057617,1006,323,1
2006,1,16,6,0,0,0,0,-7.688049316,1.146661377,1007,319,1
2006,1,16,7,0,0,0,0,-6.79107666,2.065576172,1007,319,1
2006,1,16,8,0,45,348,89,-3.538391113,5.389672852,1008,319,1
2006,1,16,9,0,77,615,254,-0.96307373,8.014276123,1008,315,1
2006,1,16,10,0,94,736,399,1.897674561,10.92473755,1008,326,1
2006,1,16,11,0,183,441,403,3.328186035,12.37874756,1007,329,1
2006,1,16,12,0,200,444,437,4.135742188,13.19927368,1007,328,2
2006,1,16,13,0,226,67,261,3.941162109,13.00164185,1007,327,2
2006,1,16,14,0,184,40,202,3.080749512,12.12737427,1007,329,2
2006,1,16,15,0,85,667,313,2.012542725,11.04155884,1008,329,2
2006,1,16,16,0,69,225,113,0.038116455,9.033441162,1008,328,2
2006,1,16,17,0,11,0,11,-1.455444336,7.512902832,1008,330,2
2006,1,16,18,0,0,0,0,-1.873474121,7.087030029,1008,334,1
2006,1,16,19,0,0,0,0,-2.083007813,6.873620605,1008,333,1
2006,1,16,20,0,0,0,0,-2.206695557,6.747583008,1008,329,1
2006,1,16,21,0,0,0,0,-2.35369873,6.597772217,1008,328,1
2006,1,16,22,0,0,0,0,-2.548980713,6.39876709,1008,328,1
2006,1,16,23,0,0,0,0,-2.741394043,6.202661133,1008,326,1
2006,1,17,0,0,0,0,0,-2.97756958,5.961846924,1008,326,1
